Test Data File:C:/Users/padou/Desktop/cours/X/psc/PSC-QRNG/data/longue/longue_binary_XOR5.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	2.557873324282506e-116	Non-Random
02. Frequency Test within a Block                 	6.709237874629589e-23	Non-Random
03. Runs Test                                     	0.0                 	Non-Random
04. Test for the Longest Run of Ones in a Block   	0.21153860545414127 	Random
05. Binary Matrix Rank Test                       	0.2430025257617202  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.8471867050687718  	Random
07. Non-overlapping Template Matching Test        	4.048045051931201e-37	Non-Random
08. Overlapping Template Matching Test            	0.2922814860908116  	Random
09. Maurer's "Universal Statistical" Test         	3.1534727503088503e-07	Non-Random
10. Linear Complexity Test                        	0.12380281478348036 	Random
11. Serial Test:
													5.912523107310883e-13	Non-Random
													0.026420539398536492	Random
12. Approximate Entropy Test                      	1.6088621442486343e-163	Non-Random
13. Cumulative Sums Test (Forward)                	9.060823335563046e-117	Non-Random
14. Cumulative Sums Test (Backward)               	1.1799206480666275e-137	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	3.052700263778981   	0.6918611131889794  	Random
				-3        	1.83776             	0.8711075843579532  	Random
				-2        	2.5934156378600823  	0.7623654268290465  	Random
				-1        	3.1333333333333337  	0.6794383863139952  	Random
				+1        	3.0                 	0.6999858358786277  	Random
				+2        	5.385185185185185   	0.3707000286628238  	Random
				+3        	3.8000000000000007  	0.5785552914362737  	Random
				+4        	5.506122448979592   	0.35727499915569827 	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	21                  	0.7904822281393452  	Random
				-8.0      	19                  	0.8504362683123465  	Random
				-7.0      	14                  	0.9596148041121082  	Random
				-6.0      	9                   	0.7411815058736042  	Random
				-5.0      	8                   	0.6701031580103327  	Random
				-4.0      	9                   	0.6788452994243183  	Random
				-3.0      	11                  	0.743971478075057   	Random
				-2.0      	13                  	0.8330288937195214  	Random
				-1.0      	15                  	1.0                 	Random
				+1.0      	11                  	0.4652088184521418  	Random
				+2.0      	7                   	0.3990751965482372  	Random
				+3.0      	3                   	0.32718687779030586 	Random
				+4.0      	3                   	0.40762594770278093 	Random
				+5.0      	2                   	0.42885366100083855 	Random
				+6.0      	1                   	0.4408998098859007  	Random
				+7.0      	3                   	0.5434238636256694  	Random
				+8.0      	7                   	0.7060817412140714  	Random
				+9.0      	10                  	0.8247780950825133  	Random
