Test Data File:C:/Users/padou/Desktop/cours/QRNG/data/shotnoise/shotnoise_k_2.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.007406321833492572	Non-Random
02. Frequency Test within a Block                 	2.6236211768058632e-06	Non-Random
03. Runs Test                                     	0.0                 	Non-Random
04. Test for the Longest Run of Ones in a Block   	3.0356255366141596e-40	Non-Random
05. Binary Matrix Rank Test                       	0.3349984001204522  	Random
06. Discrete Fourier Transform (Spectral) Test    	7.857933651080162e-06	Non-Random
07. Non-overlapping Template Matching Test        	1.8523663076464815e-106	Non-Random
08. Overlapping Template Matching Test            	1.2542154515765923e-96	Non-Random
09. Maurer's "Universal Statistical" Test         	5.170453904435779e-81	Non-Random
10. Linear Complexity Test                        	0.24411196832374757 	Random
11. Serial Test:
													0.0                 	Non-Random
													0.17242822523699397 	Random
12. Approximate Entropy Test                      	0.0                 	Non-Random
13. Cumulative Sums Test (Forward)                	0.010315906655466956	Random
14. Cumulative Sums Test (Backward)               	1.2189420142074322e-07	Non-Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	4.729361767926039   	0.4497936461369718  	Random
				-3        	8.32763592814371    	0.13907946036124705 	Random
				-2        	10.456420492348634  	0.06328870463724681 	Random
				-1        	17.467065868263475  	0.0036941082030769365	Non-Random
				+1        	3.1197604790419162  	0.6815283362182545  	Random
				+2        	2.211724698750647   	0.8191406147793017  	Random
				+3        	5.786510179640717   	0.32754980085318985 	Random
				+4        	7.842306224701783   	0.1651432559653286  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	195                 	0.19210612132586058 	Random
				-8.0      	190                 	0.15027461496165764 	Random
				-7.0      	221                 	0.2252817505762793  	Random
				-6.0      	265                 	0.42085322673890135 	Random
				-5.0      	305                 	0.7083934819553168  	Random
				-4.0      	346                 	0.8606972879185988  	Random
				-3.0      	348                 	0.8085903367101255  	Random
				-2.0      	317                 	0.7041295207013172  	Random
				-1.0      	324                 	0.6988216411140417  	Random
				+1.0      	296                 	0.14149022872621977 	Random
				+2.0      	293                 	0.35973379511193737 	Random
				+3.0      	325                 	0.8762466991884236  	Random
				+4.0      	351                 	0.8036655384378923  	Random
				+5.0      	355                 	0.7865155309314278  	Random
				+6.0      	351                 	0.8427954786051898  	Random
				+7.0      	327                 	0.9401216360668385  	Random
				+8.0      	282                 	0.6034255134057003  	Random
				+9.0      	269                 	0.5418889479980733  	Random
